name,posteam,pff_grade,qbr
D.Prescott,DAL,88.6,80.6
D.Carr,OAK,78.1,50.6
L.Jackson,BAL,72.2,63.6
C.Wentz,PHI,90.4,64.8
D.Brees,NO,91,71.8
G.Minshew,JAX,74.8,51.3
D.Watson,HOU,78.7,70.6
T.Brady,NE,84.2,62.8
R.Wilson,SEA,90.7,76.6
J.Brissett,IND,59.5,50.1
P.Mahomes,KC,84.3,79.6
M.Mariota,TEN,69.1,37.1
A.Dalton,CIN,61.5,35.1
S.Darnold,NYJ,68.7,41.6
K.Cousins,MIN,61.7,35.5
P.Rivers,LAC,77.7,49.1
B.Mayfield,CLE,71.2,33.4
E.Manning,NYG,63.3,43.7
R.Fitzpatrick,MIA,60.1,23.6
M.Ryan,ATL,72.4,62.4
M.Stafford,DET,75.7,62.9
J.Flacco,DEN,68.8,59.9
J.Goff,LA,70.4,44.3
C.Keenum,WAS,43.6,46.2
A.Rodgers,GB,76.9,56.5
J.Winston,TB,57.2,47.4
K.Murray,ARI,70.2,50.9
J.Allen,BUF,57.9,36.7
M.Trubisky,CHI,45.8,34.3
J.Garoppolo,SF,74.7,51.6
B.Roethlisberger,PIT,49,32.2
T.Bridgewater,NO,67.4,41.8
M.Rudolph,PIT,52.5,47.3
L.Falk,NYJ,42.2,10.3
D.Jones,NYG,64.7,66.6
J.Rosen,MIA,52,43
K.Allen,CAR,56.2,54
C.Daniel,CHI,70.2,65.7
C.Newton,CAR,50.4,19.8
D.Hodges,PIT,65.4,96.7
